IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.6,,80,tcp,0.0,Log,80,"","PHP Detection (HTTP)","HTTP based detection of PHP.","Detected PHP

Version:       5.2.4
Location:      80/tcp
CPE:           cpe:/a:php:php:5.2.4

Concluded from version/product identification result:
X-Powered-By: PHP/5.2.4-2ubuntu5.10

",1.3.6.1.4.1.25623.1.0.800109,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,5f59675e-58cd-4f0e-9764-ea86eb08390c,"","","","","
Details:
PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
Version used: 2024-06-12T05:05:44Z
","","","",""
192.168.100.6,,80,tcp,5.3,Medium,80,"Workaround","phpinfo() Output Reporting (HTTP)","Reporting of files containing the output of the phpinfo() PHP
  function previously detected via HTTP.","The following files are calling the function phpinfo() which disclose potentially sensitive information:

http://192.168.100.6/mutillidae/phpinfo.php
Concluded from:
  <title>phpinfo()</title><meta name=""ROBOTS"" content=""NOINDEX,NOFOLLOW,NOARCHIVE"" /></head>
  <tr><td class=""e"">Configuration File (php.ini) Path </td><td class=""v"">/etc/php5/cgi </td></tr>
  <h2>PHP Variables</h2>
http://192.168.100.6/phpinfo.php
Concluded from:
  <title>phpinfo()</title><meta name=""ROBOTS"" content=""NOINDEX,NOFOLLOW,NOARCHIVE"" /></head>
  <tr><td class=""e"">Configuration File (php.ini) Path </td><td class=""v"">/etc/php5/cgi </td></tr>
  <h2>PHP Variables</h2>
",1.3.6.1.4.1.25623.1.0.11229,"CVE-2008-0149,CVE-2023-49282,CVE-2023-49283",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,ab62479b-87b5-4acb-b595-c68cc2e144ed,"Some of the information that can be gathered from this file includes:

  The username of the user running the PHP process, if it is a sudo user, the IP address of the host, the web server
  version, the system version (Unix, Linux, Windows, ...), and the root directory of the web server.","Delete the listed files or restrict access to them.","All systems exposing a file containing the output of the
  phpinfo() PHP function.

  This VT is also reporting if an affected endpoint for the following products have been identified:

  - CVE-2008-0149: TUTOS

  - CVE-2023-49282, CVE-2023-49283: Microsoft Graph PHP SDK","Many PHP installation tutorials instruct the user to create a
  file called phpinfo.php or similar containing the phpinfo() statement. Such a file is often left
  back in the webserver directory.","This script reports files identified by the following separate
  VT: 'phpinfo() Output Detection (HTTP)' (OID: 1.3.6.1.4.1.25623.1.0.108474).
Details:
phpinfo() Output Reporting (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.11229)
Version used: 2023-12-14T08:20:35Z
","","","",""
192.168.100.6,,80,tcp,0.0,Log,80,"","phpMyAdmin Detection (HTTP)","HTTP based detection of phpMyAdmin.","Detected phpMyAdmin

Version:       3.1.1
Location:      /phpMyAdmin
CPE:           cpe:/a:phpmyadmin:phpmyadmin:3.1.1

Concluded from version/product identification result:
Version 3.1.1

Concluded from version/product identification location:
  http://192.168.100.6/phpMyAdmin/index.php
  http://192.168.100.6/phpMyAdmin/README

Extra information:
- Protected by Username/Password
",1.3.6.1.4.1.25623.1.0.900129,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,497bbb34-677c-4d70-a623-eecba0d9e6de,"","","","","
Details:
phpMyAdmin Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900129)
Version used: 2024-02-19T14:37:31Z
","","","",""
192.168.100.6,,80,tcp,4.3,Medium,99,"WillNotFix","phpMyAdmin error.php Cross Site Scripting Vulnerability","phpMyAdmin is prone to a cross-site scripting (XSS) vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.801660,"CVE-2010-4480",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,e20953c1-fcb6-425a-8ad8-5dddcafbbef8,"Successful exploitation will allow attackers to inject arbitrary
HTML code within the error page and conduct phishing attacks.","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","phpMyAdmin version 3.3.8.1 and prior.","The flaw is caused by input validation errors in the 'error.php'
script when processing crafted BBcode tags containing '@' characters, which
could allow attackers to inject arbitrary HTML code within the error page
and conduct phishing attacks.","
Details:
phpMyAdmin 'error.php' Cross Site Scripting Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.801660)
Version used: 2023-10-17T05:05:34Z
","","","DFN-CERT-2011-0467,DFN-CERT-2011-0451,DFN-CERT-2011-0016,DFN-CERT-2011-0002",""
192.168.100.6,,1524,tcp,10.0,High,99,"Workaround","Possible Backdoor: Ingreslock","A backdoor is installed on the remote host.","The service is answering to an 'id;' command with the following response: uid=0(root) gid=0(root)
",1.3.6.1.4.1.25623.1.0.103549,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,efad3aa7-a0db-48a9-a963-bc9b8fb889a3,"Attackers can exploit this issue to execute arbitrary commands in the
  context of the application. Successful attacks will compromise the affected isystem.","A whole cleanup of the infected system is recommended.","","","
Details:
Possible Backdoor: Ingreslock
(OID: 1.3.6.1.4.1.25623.1.0.103549)
Version used: 2023-07-25T05:05:58Z
","","","",""
192.168.100.6,,25,tcp,0.0,Log,80,"","Postfix SMTP Server Detection (SMTP)","SMTP based detection of Postfix.","Detected Postfix

Version:       unknown
Location:      25/tcp
CPE:           cpe:/a:postfix:postfix

Concluded from version/product identification result:
220 metasploitable.localdomain ESMTP Postfix (Ubuntu)
",1.3.6.1.4.1.25623.1.0.111086,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,efb979d9-09e2-4fea-aa23-35c965494f6a,"","","","","
Details:
Postfix SMTP Server Detection (SMTP)
(OID: 1.3.6.1.4.1.25623.1.0.111086)
Version used: 2024-01-12T05:05:56Z
","","","",""
192.168.100.6,,5432,tcp,9.0,High,99,"Mitigation","PostgreSQL Default Credentials (PostgreSQL Protocol)","It was possible to login into the remote PostgreSQL as user
  postgres using weak credentials.","It was possible to login as user postgres with password ""postgres"".


",1.3.6.1.4.1.25623.1.0.103552,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,454fbe99-3de5-4612-ab70-e893dfd0f406,"","Change the password as soon as possible.","","","
Details:
PostgreSQL Default Credentials (PostgreSQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103552)
Version used: 2024-07-19T15:39:06Z
","Product: cpe:/a:postgresql:postgresql:8.3.1
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","",""
192.168.100.6,,,,0.0,Log,80,"","PostgreSQL Detection Consolidation","Consolidation of PostgreSQL detections.","Detected PostgreSQL

Version:       8.3.1
Location:      5432/tcp
CPE:           cpe:/a:postgresql:postgresql:8.3.1

Concluded from version/product identification result:
select version(); query result: T versionDg]PostgreSQL 8.3.1 on i486-pc-linux-gnu, compiled by GCC cc (GCC) 4.2.3 (Ubuntu 4.2.3-2ubuntu4)CSELECTZI
",1.3.6.1.4.1.25623.1.0.128025,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,1d8de52d-3b76-4176-b8c9-f6de260cd9e5,"","","","","
Details:
PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
Version used: 2024-07-19T05:05:32Z
","","","",""
192.168.100.6,,5432,tcp,0.0,Log,80,"","PostgreSQL Detection (TCP)","TCP based detection of PostgreSQL.","A PostgreSQL service has been identified on this port.
",1.3.6.1.4.1.25623.1.0.100151,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,28dbbd2f-4aaf-496e-a9a5-25f62038b56b,"","","","","The script sends a connection request to the server
  (user:postgres, DB:postgres) and attempts to extract the version number from the reply.
Details:
PostgreSQL Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.100151)
Version used: 2024-07-22T05:05:40Z
","","","",""
192.168.100.6,,2121,tcp,0.0,Log,80,"","ProFTPD Server Version Detection (Remote)","This script detects the installed version of ProFTP Server.","Detected ProFTPD

Version:       1.3.1
Location:      2121/tcp
CPE:           cpe:/a:proftpd:proftpd:1.3.1

Concluded from version/product identification result:
220 ProFTPD 1.3.1 Server (Debian) [::ffff:192.168.100.6]
",1.3.6.1.4.1.25623.1.0.900815,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,76e0123e-abd4-4930-895b-a104017a517e,"","","","","
Details:
ProFTPD Server Version Detection (Remote)
(OID: 1.3.6.1.4.1.25623.1.0.900815)
Version used: 2021-09-01T14:04:04Z
","","","",""
192.168.100.6,,80,tcp,5.0,Medium,99,"WillNotFix","QWikiwiki directory traversal vulnerability","The remote host is running QWikiwiki, a Wiki application written in PHP.

  The remote version of this software contains a validation input flaw which may allow an attacker
  to use it to read arbitrary files on the remote host with the privileges of the web server.","Vulnerable URL: http://192.168.100.6/mutillidae/index.php?page=../../../../../../../../../../../etc/passwd%00
",1.3.6.1.4.1.25623.1.0.16100,"CVE-2005-0283",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,fec5135a-876e-4ea7-9d4b-86b0e1b61ea5,"","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","","","
Details:
QWikiwiki directory traversal vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.16100)
Version used: 2023-12-13T05:05:23Z
","","","",""
192.168.100.6,,512,tcp,0.0,Log,80,"","rexec Detection","This remote host is running a rexec service.","The rexec service is not allowing connections from this host.
",1.3.6.1.4.1.25623.1.0.113763,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,aa0297ae-e47b-4524-b2b3-c567e69d706f,"","","","","
Details:
rexec Detection
(OID: 1.3.6.1.4.1.25623.1.0.113763)
Version used: 2023-07-28T16:09:07Z
","","","",""
192.168.100.6,,513,tcp,10.0,High,80,"Mitigation","rlogin Passwordless Login","The rlogin service allows root access without a password.","It was possible to gain root access without a password.
",1.3.6.1.4.1.25623.1.0.113766,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,1bfd764d-ca5a-4657-bfce-abe7b25b458e,"This vulnerability allows an attacker to gain
  complete control over the target system.","Disable the rlogin service and use alternatives like SSH instead.","","","Checks if a vulnerable version is present on the target host.
Details:
rlogin Passwordless Login
(OID: 1.3.6.1.4.1.25623.1.0.113766)
Version used: 2020-09-30T09:30:12Z
","","","",""
192.168.100.6,,111,tcp,0.0,Log,80,"","RPC Portmapper Service Detection (TCP)","TCP based detection of a RPC portmapper service.","Detected RPC Portmapper

Location:      111/tcp
CPE:           cpe:/a:portmap:portmap

Extra information:
Possible known aliases / names for this product are 'port mapper', 'rpc.portmap', 'portmap' or 'rpcbind'
",1.3.6.1.4.1.25623.1.0.108090,"CVE-1999-0632",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,f82c542a-d26e-443c-a2cc-41ad02ee4e80,"","","","The RPC portmapper service is an unsecured protocol for Internet
  facing systems and should only be used on a trusted network segment, otherwise disabled. The
  software should be patched and configured properly.","
Details:
RPC Portmapper Service Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.108090)
Version used: 2023-09-12T05:05:19Z
","","","",""
192.168.100.6,,514,tcp,0.0,Log,80,"","rsh Service Detection","Checks if the remote host is running a rsh service.

  Note: The reporting takes place in a separate VT 'rsh Unencrypted Cleartext Login'
  (OID: 1.3.6.1.4.1.25623.1.0.100080).","A rsh service is running at this port.
",1.3.6.1.4.1.25623.1.0.108478,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,0522da14-7e98-44f7-80f4-6de1df06536c,"","","","","
Details:
rsh Service Detection
(OID: 1.3.6.1.4.1.25623.1.0.108478)
Version used: 2024-06-26T05:05:39Z
","","","",""
192.168.100.6,,514,tcp,7.5,High,80,"Mitigation","rsh Unencrypted Cleartext Login","This remote host is running a rsh service.","The rsh service is misconfigured so it is allowing connections without a password or with default root:root credentials.
",1.3.6.1.4.1.25623.1.0.100080,"CVE-1999-0651",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,ec5cd2a8-3b85-441f-abfc-e5dca58dde42,"","Disable the rsh service and use alternatives like SSH
  instead.","","rsh (remote shell) is a command line computer program which can
  execute shell commands as another user, and on another computer across a computer network.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
rsh Unencrypted Cleartext Login
(OID: 1.3.6.1.4.1.25623.1.0.100080)
Version used: 2021-10-20T09:03:29Z
","","","",""
192.168.100.6,,445,tcp,6.0,Medium,99,"VendorFix","Samba MS-RPC Remote Shell Command Execution Vulnerability - Active Check","Samba is prone to a vulnerability that allows attackers to
  execute arbitrary shell commands because the software fails to sanitize user-supplied input.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.108011,"CVE-2007-2447",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,ad6d1bd9-c97c-4dac-a48e-2a685a33fa1d,"An attacker may leverage this issue to execute arbitrary shell
  commands on an affected system with the privileges of the application.","Updates are available. Please see the referenced vendor advisory.","This issue affects Samba 3.0.0 through 3.0.25rc3.","","Send a crafted command to the samba server and check for a
  remote command execution.
Details:
Samba MS-RPC Remote Shell Command Execution Vulnerability - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.108011)
Version used: 2023-07-20T05:05:17Z
","Product: cpe:/a:samba:samba:3.0.20
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","",""
192.168.100.6,,513,tcp,0.0,Log,80,"","Service Detection with BINARY Request","This plugin performs service detection.","A rlogin service seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.108204,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,e1e142f0-d810-45f5-b224-8a56b2554e22,"","","","This plugin is a complement of the plugin 'Services' (OID:
  1.3.6.1.4.1.25623.1.0.10330). It sends a 'BINARY' request to the remaining unknown services and
  tries to identify them.","
Details:
Service Detection with 'BINARY' Request
(OID: 1.3.6.1.4.1.25623.1.0.108204)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,512,tcp,0.0,Log,80,"","Service Detection with BINARY Request","This plugin performs service detection.","A rexec service seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.108204,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,2cef324d-0906-4ed8-af5c-a365e00c4fa7,"","","","This plugin is a complement of the plugin 'Services' (OID:
  1.3.6.1.4.1.25623.1.0.10330). It sends a 'BINARY' request to the remaining unknown services and
  tries to identify them.","
Details:
Service Detection with 'BINARY' Request
(OID: 1.3.6.1.4.1.25623.1.0.108204)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,6697,tcp,0.0,Log,80,"","Service Detection with GET Request","This plugin performs service detection.","An IRC server seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.17975,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,36a5b44f-f78d-4e3e-8913-03454795ed87,"","","","This plugin is a complement of the plugin 'Services' (OID:
  1.3.6.1.4.1.25623.1.0.10330). It sends a HTTP 'GET' request to the remaining unknown services and
  tries to identify them.","
Details:
Service Detection with 'GET' Request
(OID: 1.3.6.1.4.1.25623.1.0.17975)
Version used: 2024-06-26T05:05:39Z
","","","",""
192.168.100.6,,1524,tcp,0.0,Log,80,"","Service Detection with GET Request","This plugin performs service detection.","A root shell of Metasploitable seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.17975,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,f9189fc6-7c99-461d-b284-8bd365184321,"","","","This plugin is a complement of the plugin 'Services' (OID:
  1.3.6.1.4.1.25623.1.0.10330). It sends a HTTP 'GET' request to the remaining unknown services and
  tries to identify them.","
Details:
Service Detection with 'GET' Request
(OID: 1.3.6.1.4.1.25623.1.0.17975)
Version used: 2024-06-26T05:05:39Z
","","","",""
192.168.100.6,,8787,tcp,0.0,Log,80,"","Service Detection with GET Request","This plugin performs service detection.","A Distributed Ruby (dRuby/DRb) service seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.17975,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,89044ab0-717c-4d00-a4c8-97939fa60660,"","","","This plugin is a complement of the plugin 'Services' (OID:
  1.3.6.1.4.1.25623.1.0.10330). It sends a HTTP 'GET' request to the remaining unknown services and
  tries to identify them.","
Details:
Service Detection with 'GET' Request
(OID: 1.3.6.1.4.1.25623.1.0.17975)
Version used: 2024-06-26T05:05:39Z
","","","",""
192.168.100.6,,23,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","A telnet server seems to be running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,e4c815b0-9051-4b40-9180-72314b4716af,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,25,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An SMTP server is running on this port
Here is its banner : 
220 metasploitable.localdomain ESMTP Postfix (Ubuntu)
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,20806c2c-b438-412d-b2f0-dcb116c64f4a,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,2121,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An FTP server is running on this port.
Here is its banner : 
220 ProFTPD 1.3.1 Server (Debian) [::ffff:192.168.100.6]
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,7608b0fd-bdda-474d-a822-b8a1f827af60,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,80,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","A web server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,8561cd09-9baf-462d-8960-b4deae748a3f,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,3306,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An unknown service is running on this port.
It is usually reserved for MySQL
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,4c7d1ebc-c13b-493d-9a23-60e48f275adc,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,5432,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An unknown service is running on this port.
It is usually reserved for Postgres
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,14fa72de-2fdc-4347-84ea-360b313dfc99,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,21,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An FTP server is running on this port.
Here is its banner : 
220 (vsFTPd 2.3.4)
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,61a9b6d9-96aa-4c3d-a7f6-1dd2fe2d7efe,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,22,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An ssh server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,41ac31f4-1174-403e-8301-214823650992,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2023-06-14T05:05:19Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,80,"","SMB/CIFS Server Detection","This script detects whether port 445 and 139 are open and
  if they are running a CIFS/SMB server.","A CIFS server is running on this port
",1.3.6.1.4.1.25623.1.0.11011,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,10915514-e046-4dda-ac94-4311fc7b3034,"","","","","
Details:
SMB/CIFS Server Detection
(OID: 1.3.6.1.4.1.25623.1.0.11011)
Version used: 2023-08-01T13:29:10Z
","","","",""
192.168.100.6,,139,tcp,0.0,Log,80,"","SMB/CIFS Server Detection","This script detects whether port 445 and 139 are open and
  if they are running a CIFS/SMB server.","A SMB server is running on this port
",1.3.6.1.4.1.25623.1.0.11011,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,ff9a7716-16f0-4371-81cc-9b629e101978,"","","","","
Details:
SMB/CIFS Server Detection
(OID: 1.3.6.1.4.1.25623.1.0.11011)
Version used: 2023-08-01T13:29:10Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,97,"","SMB log in","This script attempts to logon into the remote host using
  login/password credentials.","It was possible to log into the remote host using the SMB protocol.
",1.3.6.1.4.1.25623.1.0.10394,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,9e5c609a-9e87-4d55-8855-58cb13c7183b,"","","","","
Details:
SMB log in
(OID: 1.3.6.1.4.1.25623.1.0.10394)
Version used: 2023-11-28T05:05:32Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,80,"","SMB Login Successful For Authenticated Checks","It was possible to login using the provided SMB
  credentials. Hence authenticated checks are enabled.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.108539,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,30f8cb89-829f-4ec6-8c4e-974a626cc482,"","","","","
Details:
SMB Login Successful For Authenticated Checks
(OID: 1.3.6.1.4.1.25623.1.0.108539)
Version used: 2023-07-28T16:09:07Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,95,"","SMB NativeLanMan","It is possible to extract OS, domain and SMB server information
  from the Session Setup AndX Response packet which is generated during NTLM authentication.","Detected SMB workgroup: WORKGROUP
Detected SMB server: Samba 3.0.20-Debian
Detected OS: Debian GNU/Linux

",1.3.6.1.4.1.25623.1.0.102011,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,62299b36-8b3e-4815-b842-bdd31d20e8ae,"","","","","
Details:
SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
Version used: 2024-06-25T05:05:27Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,95,"","SMB NativeLanMan","It is possible to extract OS, domain and SMB server information
  from the Session Setup AndX Response packet which is generated during NTLM authentication.","Detected Samba

Version:       3.0.20
Location:      445/tcp
CPE:           cpe:/a:samba:samba:3.0.20

Concluded from version/product identification result:
Samba 3.0.20-Debian

Extra information:
Detected SMB workgroup: WORKGROUP
Detected SMB server: Samba 3.0.20-Debian

",1.3.6.1.4.1.25623.1.0.102011,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,fa033ce8-e9f4-43ec-adb3-69d061495eb5,"","","","","
Details:
SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
Version used: 2024-06-25T05:05:27Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,80,"","SMB Remote Version Detection","Detection of Server Message Block(SMB).

  This script sends SMB Negotiation request and try to get the version from the
  response.","Only SMBv1 is enabled on remote target
",1.3.6.1.4.1.25623.1.0.807830,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,5723d662-54fc-462b-8a6d-6bae23c83315,"","","","","
Details:
SMB Remote Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.807830)
Version used: 2023-07-26T05:05:09Z
","","","",""
192.168.100.6,,445,tcp,0.0,Log,80,"","SMBv1 Enabled - Active Check","The host has enabled SMBv1 for the SMB Server.","SMBv1 is enabled for the SMB Server
",1.3.6.1.4.1.25623.1.0.140151,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,fefdaebf-aa16-4c2a-bb20-eae02734d3e8,"","","","","Checks if SMBv1 is enabled for the SMB Server based on the
  information provided by the following VT:

  - SMB Remote Version Detection (OID: 1.3.6.1.4.1.25623.1.0.807830).
Details:
SMBv1 Enabled - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.140151)
Version used: 2024-01-09T05:06:46Z
","","","",""
192.168.100.6,,25,tcp,0.0,Log,80,"","SMTP Server type and version","This detects the SMTP Server's type and version by connecting to
  the server and processing the buffer received.","Remote SMTP server banner:

220 metasploitable.localdomain ESMTP Postfix (Ubuntu)

The remote SMTP server is announcing the following available ESMTP commands (EHLO response) via an unencrypted connection:

8BITMIME, DSN, ENHANCEDSTATUSCODES, ETRN, PIPELINING, SIZE 10240000, STARTTLS, VRFY
",1.3.6.1.4.1.25623.1.0.10263,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,d88c4397-5e69-4d2a-a624-01ddbbf26e85,"","","","","
Details:
SMTP Server type and version
(OID: 1.3.6.1.4.1.25623.1.0.10263)
Version used: 2024-06-25T05:05:27Z
","","","",""
